id,keywords
862,"[{'id': 931, 'name': 'jealousy'}, {'id': 4290, 'name': 'toy'}, {'id': 5202, 'name': 'boy'}, {'id': 6054, 'name': 'friendship'}, {'id': 9713, 'name': 'friends'}, {'id': 9823, 'name': 'rivalry'}, {'id': 165503, 'name': 'boy next door'}, {'id': 170722, 'name': 'new toy'}, {'id': 187065, 'name': 'toy comes to life'}]"
8844,"[{'id': 10090, 'name': 'board game'}, {'id': 10941, 'name': 'disappearance'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 33467, 'name': 'new home'}, {'id': 158086, 'name': 'recluse'}, {'id': 158091, 'name': 'giant insect'}]"
949,"[{'id': 642, 'name': 'robbery'}, {'id': 703, 'name': 'detective'}, {'id': 974, 'name': 'bank'}, {'id': 1523, 'name': 'obsession'}, {'id': 3713, 'name': 'chase'}, {'id': 7281, 'name': 'shooting'}, {'id': 9727, 'name': 'thief'}, {'id': 9812, 'name': 'honor'}, {'id': 9826, 'name': 'murder'}, {'id': 9937, 'name': 'suspense'}, {'id': 10051, 'name': 'heist'}, {'id': 10085, 'name': 'betrayal'}, {'id': 10594, 'name': 'money'}, {'id': 10726, 'name': 'gang'}, {'id': 15076, 'name': 'cat and mouse'}, {'id': 18023, 'name': 'criminal mastermind'}, {'id': 34117, 'name': 'cult film'}, {'id': 156121, 'name': 'ex-con'}, {'id': 159343, 'name': 'heist movie'}, {'id': 159434, 'name': 'one last job'}, {'id': 167104, 'name': 'loner'}, {'id': 192261, 'name': 'bank job'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 208009, 'name': 'gun fight'}, {'id': 214983, 'name': 'crime epic'}]"
710,"[{'id': 701, 'name': 'cuba'}, {'id': 769, 'name': 'falsely accused'}, {'id': 1308, 'name': 'secret identity'}, {'id': 2812, 'name': 'computer virus'}, {'id': 3268, 'name': 'secret base'}, {'id': 3272, 'name': 'secret intelligence service'}, {'id': 3278, 'name': 'kgb'}, {'id': 3376, 'name': 'satellite'}, {'id': 3531, 'name': 'special car'}, {'id': 3560, 'name': 'cossack'}, {'id': 3561, 'name': 'electromagnetic pulse'}, {'id': 3562, 'name': 'time bomb'}, {'id': 3563, 'name': 'st. petersburg russia'}, {'id': 3564, 'name': 'ejection seat'}, {'id': 193008, 'name': 'red army'}]"
1408,"[{'id': 911, 'name': 'exotic island'}, {'id': 1454, 'name': 'treasure'}, {'id': 1969, 'name': 'map'}, {'id': 3799, 'name': 'ship'}, {'id': 5470, 'name': 'scalp'}, {'id': 12988, 'name': 'pirate'}]"
524,"[{'id': 383, 'name': 'poker'}, {'id': 726, 'name': 'drug abuse'}, {'id': 1228, 'name': '1970s'}, {'id': 2635, 'name': 'overdose'}, {'id': 33625, 'name': 'illegal prostitution'}]"
4584,"[{'id': 420, 'name': 'bowling'}, {'id': 818, 'name': 'based on novel'}, {'id': 964, 'name': 'servant'}, {'id': 2755, 'name': 'country life'}, {'id': 7564, 'name': 'jane austen'}, {'id': 10911, 'name': 'inheritance'}, {'id': 11109, 'name': 'military officer'}, {'id': 15060, 'name': 'period drama'}, {'id': 156507, 'name': 'rainstorm'}, {'id': 156510, 'name': 'horse and carriage'}, {'id': 156512, 'name': 'decorum'}]"
5,"[{'id': 612, 'name': 'hotel'}, {'id': 613, 'name': ""new year's eve""}, {'id': 616, 'name': 'witch'}, {'id': 622, 'name': 'bet'}, {'id': 922, 'name': 'hotel room'}, {'id': 2700, 'name': 'sperm'}, {'id': 12670, 'name': 'los angeles'}, {'id': 160488, 'name': 'hoodlum'}, {'id': 187056, 'name': 'woman director'}, {'id': 198129, 'name': 'episode film'}]"
8012,"[{'id': 395, 'name': 'gambling'}, {'id': 416, 'name': 'miami'}, {'id': 818, 'name': 'based on novel'}, {'id': 8438, 'name': 'job'}, {'id': 9826, 'name': 'murder'}, {'id': 9935, 'name': 'travel'}, {'id': 10391, 'name': 'mafia'}, {'id': 10594, 'name': 'money'}, {'id': 11061, 'name': 'debt'}, {'id': 11578, 'name': 'mobster'}, {'id': 12094, 'name': 'business'}, {'id': 12396, 'name': 'hollywood'}, {'id': 13142, 'name': 'gangster'}, {'id': 14536, 'name': 'crime'}, {'id': 14819, 'name': 'violence'}, {'id': 14964, 'name': 'drug'}, {'id': 33879, 'name': 'producer'}, {'id': 159608, 'name': 'con'}]"
1710,"[{'id': 796, 'name': 'police brutality'}, {'id': 2800, 'name': 'psychology'}, {'id': 4668, 'name': 'police operation'}, {'id': 5430, 'name': 'police protection'}, {'id': 10714, 'name': 'serial killer'}, {'id': 11268, 'name': 'psychologist'}, {'id': 13001, 'name': 'cowardliness'}]"
