genres,id,title
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",862,Toy Story
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",8844,Jumanji
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",949,Heat
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",710,GoldenEye
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1408,Cutthroat Island
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",524,Casino
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4584,Sense and Sensibility
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",5,Four Rooms
"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",8012,Get Shorty
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1710,Copycat
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",451,Leaving Las Vegas
"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",902,The City of Lost Children
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",63,Twelve Monkeys
"[{'id': 18, 'name': 'Drama'}]",687,Dead Man Walking
"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",139405,Across the Sea of Time
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",577,To Die For
"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",807,Se7en
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8391,When Night Is Falling
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",629,The Usual Suspects
"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",2054,Mr. Holland's Opus
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",4482,French Twist
"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",755,From Dusk Till Dawn
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",27526,The Crossing Guard
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",400,Things to Do in Denver When You're Dead
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",880,Antonia's Line
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8447,Angels and Insects
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2086,Nick of Time
"[{'id': 18, 'name': 'Drama'}]",406,La Haine
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2045,Unforgettable
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",688,The Bridges of Madison County
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",197,Braveheart
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",103,Taxi Driver
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2074,Flirting with Disaster
"[{'id': 14, 'name': 'Fantasy'}]",27793,The Neverending Story III: Escape from Fantasia
"[{'id': 35, 'name': 'Comedy'}]",5757,Man of the Year
[],124639,Target
"[{'id': 18, 'name': 'Drama'}]",568,Apollo 13
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",414,Batman Forever
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",649,Belle de Jour
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1873,Beyond Rangoon
"[{'id': 35, 'name': 'Comedy'}]",5894,Blue in the Face
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",8839,Casper
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",8963,Crimson Tide
"[{'id': 99, 'name': 'Documentary'}]",26564,Crumb
"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",8068,Desperado
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8512,Devil in a Blue Dress
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1572,Die Hard: With a Vengeance
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6520,First Knight
"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",8973,Lord of Illusions
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2293,Mallrats
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",1642,The Net
"[{'id': 18, 'name': 'Drama'}]",32646,Safe
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",281,Strange Days
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5967,The Umbrellas of Cherbourg
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3512,Under Siege 2: Dark Territory
"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",65796,Wild Bill
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}]",26258,Bushwhacked
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",76,Before Sunrise
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6715,The Cure
"[{'id': 35, 'name': 'Comedy'}]",2292,Clerks
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1909,Don Juan DeMarco
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",8984,Disclosure
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",4954,Drop Zone
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",522,Ed Wood
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",397,French Kiss
"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",1024,Heavenly Creatures
"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",628,Interview with the Vampire
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",6280,Junior
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6071,Kiss of Death
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",11,Star Wars
"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",4476,Legends of the Fall
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",32325,Mi Vida Loca
"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",3036,Mary Shelley's Frankenstein
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",8986,Milk Money
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1945,Nell
"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",241,Natural Born Killers
"[{'id': 18, 'name': 'Drama'}]",527,Once Were Warriors
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6950,Outbreak
"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",101,Leon: The Professional
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2307,A Pyromaniac's Love Story
"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",680,Pulp Fiction
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",3586,Prêt-à-Porter
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",110,Three Colors: Red
"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 9648, 'name': 'Mystery'}]",108,Three Colors: Blue
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",109,Three Colors: White
"[{'id': 18, 'name': 'Drama'}]",159185,"Red Firecracker, Green Firecracker"
"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2636,The Specialist
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2164,Stargate
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",278,The Shawshank Redemption
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",193,Star Trek: Generations
"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",95963,The Walking Dead
"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1587,What's Eating Gilbert Grape
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2064,While You Were Sleeping
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",236,Muriel's Wedding
"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",3049,Ace Ventura: Pet Detective
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2759,"The Adventures of Priscilla, Queen of the Desert"
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",888,The Flintstones
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13,Forrest Gump
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",712,Four Weddings and a Funeral
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",8587,The Lion King
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1689,Little Buddha
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",854,The Mask
"[{'id': 18, 'name': 'Drama'}]",2788,Reality Bites
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",8987,The River Wild
"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",8831,Timecop
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",315,"Faster, Pussycat! Kill! Kill!"
"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",8011,Highlander: The Final Dimension
[],171857,Federal Hill
"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2654,In the Mouth of Madness
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2758,Addams Family Values
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",306,Beverly Hills Cop III
"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",26203,Blink
