cast,crew,id
"[{'cast_id': 14, 'character': 'Woody (voice)', 'credit_id': '52fe4284c3a36847f8024f95', 'gender': 2, 'id': 31, 'name': 'Tom Hanks', 'order': 0, 'profile_path': '/pQFoyx7rp09CJTAb932F2g8Nlho.jpg'}, {'cast_id': 15, 'character': 'Buzz Lightyear (voice)', 'credit_id': '52fe4284c3a36847f8024f99', 'gender': 2, 'id': 12898, 'name': 'Tim Allen', 'order': 1, 'profile_path': '/uX2xVf6pMmPepxnvFWyBtjexzgY.jpg'}, {'cast_id': 16, 'character': 'Mr. Potato Head (voice)', 'credit_id': '52fe4284c3a36847f8024f9d', 'gender': 2, 'id': 7167, 'name': 'Don Rickles', 'order': 2, 'profile_path': '/h5BcaDMPRVLHLDzbQavec4xfSdt.jpg'}]","[{'credit_id': '52fe4284c3a36847f8024f49', 'department': 'Directing', 'gender': 2, 'id': 7879, 'job': 'Director', 'name': 'John Lasseter', 'profile_path': '/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg'}]",862
"[{'cast_id': 1, 'character': 'Alan Parrish', 'credit_id': '52fe44bfc3a36847f80a7c73', 'gender': 2, 'id': 2157, 'name': 'Robin Williams', 'order': 0, 'profile_path': '/sojtJyIV3lkUeThD7A2oHNm8183.jpg'}, {'cast_id': 8, 'character': 'Samuel Alan Parrish / Van Pelt', 'credit_id': '52fe44bfc3a36847f80a7c99', 'gender': 2, 'id': 8537, 'name': 'Jonathan Hyde', 'order': 1, 'profile_path': '/7il5D76vx6QVRVlpVvBPEC40MBi.jpg'}, {'cast_id': 2, 'character': 'Judy Sheperd', 'credit_id': '52fe44bfc3a36847f80a7c77', 'gender': 1, 'id': 205, 'name': 'Kirsten Dunst', 'order': 2, 'profile_path': '/wBXvh6PJd0IUVNpvatPC1kzuHtm.jpg'}]","[{'credit_id': '52fe44bfc3a36847f80a7c7d', 'department': 'Directing', 'gender': 2, 'id': 4945, 'job': 'Director', 'name': 'Joe Johnston', 'profile_path': '/fok4jaO62v5IP6hkpaaAcXuw2H.jpg'}]",8844
"[{'cast_id': 25, 'character': 'Lt. Vincent Hanna', 'credit_id': '52fe4292c3a36847f80291f5', 'gender': 2, 'id': 1158, 'name': 'Al Pacino', 'order': 0, 'profile_path': '/ks7Ba8x9fJUlP9decBr6Dh5mThX.jpg'}, {'cast_id': 26, 'character': 'Neil McCauley', 'credit_id': '52fe4292c3a36847f80291f9', 'gender': 2, 'id': 380, 'name': 'Robert De Niro', 'order': 1, 'profile_path': '/lvTSwUcvJRLAJ2FB5qFaukel516.jpg'}, {'cast_id': 27, 'character': 'Chris Shiherlis', 'credit_id': '52fe4292c3a36847f80291fd', 'gender': 2, 'id': 5576, 'name': 'Val Kilmer', 'order': 2, 'profile_path': '/AlhPeiH8R4reMNGNQ9ag1FPbuW9.jpg'}]","[{'credit_id': '52fe4292c3a36847f802916d', 'department': 'Directing', 'gender': 2, 'id': 638, 'job': 'Director', 'name': 'Michael Mann', 'profile_path': '/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg'}]",949
"[{'cast_id': 1, 'character': 'James Bond', 'credit_id': '52fe426ec3a36847f801e10d', 'gender': 2, 'id': 517, 'name': 'Pierce Brosnan', 'order': 0, 'profile_path': '/1JXL0zrA26JjdoX8sqf57fJRDVM.jpg'}, {'cast_id': 2, 'character': 'Alec Trevelyan', 'credit_id': '52fe426ec3a36847f801e111', 'gender': 2, 'id': 48, 'name': 'Sean Bean', 'order': 1, 'profile_path': '/iIxP2IzvcLgr5WaTBD4UfSqaV3q.jpg'}, {'cast_id': 3, 'character': 'Natalya Fyodorovna Simonova', 'credit_id': '52fe426ec3a36847f801e115', 'gender': 1, 'id': 10695, 'name': 'Izabella Scorupco', 'order': 2, 'profile_path': '/hMhy6vd7vyWb06aKqbbx9Nba55X.jpg'}]","[{'credit_id': '52fe426ec3a36847f801e14b', 'department': 'Directing', 'gender': 2, 'id': 10702, 'job': 'Director', 'name': 'Martin Campbell', 'profile_path': '/qhx0AySf8yH3kiHrinWknUJbr1y.jpg'}]",710
"[{'cast_id': 1, 'character': 'Morgan Adams', 'credit_id': '52fe42f4c3a36847f802f65f', 'gender': 1, 'id': 16935, 'name': 'Geena Davis', 'order': 0, 'profile_path': '/6b8cRJOItz7yNpYuLCPkl5kv4m2.jpg'}, {'cast_id': 2, 'character': 'William Shaw', 'credit_id': '52fe42f4c3a36847f802f663', 'gender': 2, 'id': 8654, 'name': 'Matthew Modine', 'order': 1, 'profile_path': '/tEQG1Us5IuoKYtufZe6waWtxfeg.jpg'}, {'cast_id': 3, 'character': 'Dawg', 'credit_id': '52fe42f4c3a36847f802f667', 'gender': 2, 'id': 8924, 'name': 'Frank Langella', 'order': 2, 'profile_path': '/wMlcjLBQouQjE0iceseNTxUF3BF.jpg'}]","[{'credit_id': '52fe42f4c3a36847f802f681', 'department': 'Directing', 'gender': 2, 'id': 16938, 'job': 'Director', 'name': 'Renny Harlin', 'profile_path': '/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg'}]",1408
"[{'cast_id': 4, 'character': ""Sam 'Ace' Rothstein"", 'credit_id': '52fe424dc3a36847f80139d1', 'gender': 2, 'id': 380, 'name': 'Robert De Niro', 'order': 0, 'profile_path': '/lvTSwUcvJRLAJ2FB5qFaukel516.jpg'}, {'cast_id': 5, 'character': 'Ginger McKenna', 'credit_id': '52fe424dc3a36847f80139d5', 'gender': 1, 'id': 4430, 'name': 'Sharon Stone', 'order': 1, 'profile_path': '/m57fGJemBTpsjydGlaZJywlIWz4.jpg'}, {'cast_id': 6, 'character': 'Nicky Santoro', 'credit_id': '52fe424dc3a36847f80139d9', 'gender': 2, 'id': 4517, 'name': 'Joe Pesci', 'order': 2, 'profile_path': '/2CaYAhUZgkAeqtpIzuqGcqArsOy.jpg'}]","[{'credit_id': '52fe424dc3a36847f80139cd', 'department': 'Directing', 'gender': 2, 'id': 1032, 'job': 'Director', 'name': 'Martin Scorsese', 'profile_path': '/4Xwx5XL1RJj0JQmEo8Fhr6nkpOg.jpg'}]",524
"[{'cast_id': 6, 'character': 'Marianne Dashwood', 'credit_id': '52fe43cec3a36847f807103b', 'gender': 1, 'id': 204, 'name': 'Kate Winslet', 'order': 0, 'profile_path': '/w8wjPbS24vPErNeYhAvtbyAUBMd.jpg'}, {'cast_id': 7, 'character': 'Elinor Dashwood', 'credit_id': '52fe43cec3a36847f807103f', 'gender': 1, 'id': 7056, 'name': 'Emma Thompson', 'order': 1, 'profile_path': '/cWTBHN8kLf6yapxiaQD9C6N1uMw.jpg'}, {'cast_id': 8, 'character': 'Edward Ferrars', 'credit_id': '52fe43cec3a36847f8071043', 'gender': 2, 'id': 3291, 'name': 'Hugh Grant', 'order': 2, 'profile_path': '/r3rSJLJwKmsJyPA3gojzuMthJ4C.jpg'}]","[{'credit_id': '52fe43cec3a36847f807101f', 'department': 'Directing', 'gender': 2, 'id': 1614, 'job': 'Director', 'name': 'Ang Lee', 'profile_path': '/uTX0uIBLl3JIQunuAMDRHLorffh.jpg'}]",4584
"[{'cast_id': 42, 'character': 'Ted the Bellhop', 'credit_id': '52fe420dc3a36847f80001b7', 'gender': 2, 'id': 3129, 'name': 'Tim Roth', 'order': 0, 'profile_path': '/r4jtlboNqWPz2dOHafrPJE4Yd94.jpg'}, {'cast_id': 31, 'character': 'Man', 'credit_id': '52fe420dc3a36847f800018b', 'gender': 2, 'id': 3131, 'name': 'Antonio Banderas', 'order': 1, 'profile_path': '/85197jARsr06xQ84NhP9YoBL3sR.jpg'}, {'cast_id': 29, 'character': 'Angela', 'credit_id': '52fe420dc3a36847f8000183', 'gender': 1, 'id': 3130, 'name': 'Jennifer Beals', 'order': 2, 'profile_path': '/uYa9mUAh3YeFlACaY0rI0Oz7pRf.jpg'}]","[{'credit_id': '52fe420dc3a36847f800012d', 'department': 'Directing', 'gender': 1, 'id': 3110, 'job': 'Director', 'name': 'Allison Anders', 'profile_path': '/rsfxpcNEdmNqZyNcct0J695LhBK.jpg'}]",5
"[{'cast_id': 1, 'character': 'Chili Palmer', 'credit_id': '52fe448dc3a36847f809c6eb', 'gender': 2, 'id': 8891, 'name': 'John Travolta', 'order': 0, 'profile_path': '/ns8uZHEHzV18ifqA9secv8c2Ard.jpg'}, {'cast_id': 2, 'character': 'Harry Zimm', 'credit_id': '52fe448dc3a36847f809c6ef', 'gender': 2, 'id': 193, 'name': 'Gene Hackman', 'order': 1, 'profile_path': '/qEKcmwc1XstymEniGuCs3KIsGfP.jpg'}, {'cast_id': 3, 'character': 'Karen Flores', 'credit_id': '52fe448dc3a36847f809c6f3', 'gender': 1, 'id': 14343, 'name': 'Rene Russo', 'order': 2, 'profile_path': '/aaPzuXRHdyxamPMXqu70okPaqvB.jpg'}]","[{'credit_id': '52fe448dc3a36847f809c729', 'department': 'Directing', 'gender': 2, 'id': 5174, 'job': 'Director', 'name': 'Barry Sonnenfeld', 'profile_path': '/m8vIfbXI44Fd8VK7HSJRisYQjQc.jpg'}]",8012
"[{'cast_id': 8, 'character': 'Helen Hudson', 'credit_id': '52fe430ec3a36847f8037243', 'gender': 1, 'id': 10205, 'name': 'Sigourney Weaver', 'order': 0, 'profile_path': '/gxBIAr3CnBjkNRoPovVJCvEGqP0.jpg'}, {'cast_id': 9, 'character': 'M.J. Monahan', 'credit_id': '52fe430ec3a36847f8037247', 'gender': 1, 'id': 18686, 'name': 'Holly Hunter', 'order': 1, 'profile_path': '/sfqLoSx2dmfQTafqbv8lNHnBeUW.jpg'}, {'cast_id': 10, 'character': 'Nico Letti', 'credit_id': '52fe430ec3a36847f803724b', 'gender': 2, 'id': 883, 'name': 'Will Patton', 'order': 2, 'profile_path': '/qpycaaWP1oUx1Wd2lMBfQtR7qDO.jpg'}]","[{'credit_id': '52fe430ec3a36847f8037233', 'department': 'Directing', 'gender': 2, 'id': 15148, 'job': 'Director', 'name': 'Jon Amiel', 'profile_path': '/tZf4VLvFobxizCzDQ6xQdygGT9.jpg'}]",1710
